"date" "N_bikes" "temperature" "feels_like" "humidity" "wind_speed" "holiday" "weekend" "season"
"1" 2015-09-27 29817 13.6458333333333 13.5833333333333 NA 11.6458333333333 0 1 2
"2" 2016-12-07 NA 12.1041666666667 12.0625 83.5625 12.7916666666667 0 0 3
"3" 2016-05-02 19428 12.7083333333333 12.5833333333333 76.125 20.7708333333333 1 0 0
"4" 2015-04-06 25439 9.25 7.77083333333333 73.5833333333333 13.3541666666667 1 0 0
"5" 2016-12-25 NA 12.5 12.5 NA 27.6666666666667 0 1 3
"6" 2015-10-05 20741 15.8958333333333 15.8958333333333 87.9375 13.75 0 0 2
"7" 2016-03-03 24416 7.02083333333333 3.5625 67.6458333333333 21.7916666666667 0 0 0
"8" 2015-09-10 35734 16.1875 16.1875 71.8333333333333 15 0 0 2
"9" 2015-04-02 22682 9.0625 7.125 66.3541666666667 14.8125 0 0 0
"10" 2016-12-17 NA 7.41666666666667 6.45833333333333 NA 6.20833333333333 0 1 3
"11" 2015-10-19 NA 12.7291666666667 12.7291666666667 79.1875 7.375 0 0 2
"12" 2015-11-07 14881 15.7708333333333 15.7708333333333 83.6458333333333 22.8958333333333 0 1 2
"13" 2016-09-24 35786 18.7916666666667 18.625 NA 15.75 0 1 2
"14" 2015-11-24 21175 9.04166666666667 6.22916666666667 83.7083333333333 19.9166666666667 0 0 2
"15" 2015-01-31 10250 3.41666666666667 -0.916666666666667 77.9166666666667 20.125 0 1 3
"16" 2016-03-06 12510 4.29166666666667 1.1875 NA 14 0 1 0
"17" 2016-05-03 31962 11.7083333333333 10.8541666666667 54.375 14.6458333333333 0 0 0
"18" 2016-09-09 36151 19.5416666666667 19.5416666666667 72.625 17.5416666666667 0 0 2
"19" 2015-06-04 39451 17 16.8333333333333 56.3333333333333 12.8541666666667 0 0 1
"20" 2015-12-31 13889 9.52083333333333 7.22916666666667 69.3125 23.3958333333333 0 0 3
"21" 2015-11-09 28474 13.875 13.875 73.9791666666667 27.0416666666667 0 0 2
"22" 2016-07-11 32420 18.0416666666667 18.0416666666667 73.6875 22 0 0 1
"23" 2015-12-23 18451 11.3541666666667 11.0833333333333 69.0416666666667 23.1666666666667 0 0 3
"24" 2015-01-14 23565 6.5 2.47916666666667 67.125 25.75 0 0 3
"25" 2016-04-01 27137 8.52083333333333 7.89583333333333 66.5 11.1666666666667 0 0 0
"26" 2015-05-24 30018 15.7916666666667 15.7916666666667 NA 11.4791666666667 0 1 0
"27" 2015-10-06 25892 16.6458333333333 16.6458333333333 87.2291666666667 12.4166666666667 0 0 2
"28" 2016-12-24 7890 9.02083333333333 6.10416666666667 NA 24.8958333333333 0 1 3
"29" 2015-02-01 11305 3.79166666666667 -0.895833333333333 67 24.7708333333333 0 1 3
"30" 2016-06-05 40229 16.4166666666667 16.4166666666667 79.1458333333333 12 0 1 1
"31" 2016-09-18 29463 17.1041666666667 17.1041666666667 NA 7.75 0 1 2
"32" 2015-03-05 24896 7.5 5.20833333333333 65.2708333333333 16.6875 0 0 0
"33" 2016-11-01 32054 10.4583333333333 10.1041666666667 86.5625 8.58333333333333 0 0 2
"34" 2016-02-20 10745 11.1739130434783 10.0869565217391 80.8260869565217 27.9565217391304 0 1 3
